
j' [ʒ]
fréquent [fʁekâ]
frère [fʁɛʁ]
fresque [fʁɛsk]
fréteur [fʁetœʁ]
fret [fʁɛ,fʁɛt]
fretin [fʁətê]
freudien [fʁødjê]
freudisme [fʁødism]
FRF [ɛfɛʁɛf]
friabilité [fʁijabilite]
friable [fʁijabl]
friand [fʁijâ]
friandise [fʁijâdiz]
fric [fʁik]
friche [fʁiʃ]
friction [fʁiksjô]
frigidaire [fʁiʒidɛʁ]
frigidité [fʁiʒidite]
frigo [fʁiɡo]
frigorifique [fʁiɡɔʁifik]
frileusement [fʁiløzmâ]
frileux [fʁilø]
frilosité [fʁilozite]
frimaire [fʁimɛʁ]
frimas [fʁima]
fringale [fʁêɡal]
fringant [fʁêɡâ]
friperie [fʁipʁi]
fripier [fʁipje]
fripon [fʁipô]
friponnerie [fʁipɔnʁi]
frire [fʁiʁ]
frise [fʁiz]
friser [fʁize]
frison [fʁizô]
frisson [fʁisô]
frissonnant [fʁisɔnâ]
frissonner [fʁisɔne]
friture [fʁityʁ]
frivole [fʁivɔl]
frivolité [fʁivɔlite]
froc [fʁɔk]
froidement [fʁwadmâ]
froideur [fʁwadœʁ]
froid [fʁwa]
froidure [fʁwadyʁ]
froissement [fʁwasmâ]
froisser [fʁwase]
frôlement [fʁolmâ]
frôler [fʁole]
fromage [fʁɔmaʒ]
fromager [fʁɔmaʒe]
fromagerie [fʁɔmaʒʁi]
froment [fʁɔmâ]
froncement [fʁôsmâ]
froncer [fʁôse]
frondaison [fʁôdɛzô]
fronde [fʁôd]
fronder [fʁôde]
frondeur [fʁôdœʁ]
frontalement [fʁôtalmâ]
frontal [fʁôtal]
frontalier [fʁôtalje]
front [fʁô]
frontière [fʁôtjɛʁ]
frontispice [fʁôtispis]
fronton [fʁôtô]
frottant [fʁɔtâ]
frottement [fʁɔtmâ]
frotter [fʁɔte]
frotteur [fʁɔtœʁ]
frottis [fʁɔti]
fructidor [fʁyktidɔʁ]
fructification [fʁyktifikasjô]
fructifier [fʁyktifje]
fructose [fʁyktoz]
fructueusement [fʁyktɥøzmâ]
fructueux [fʁyktɥø]
frugal [fʁyɡal]
frugalité [fʁyɡalite]
fruit [fʁɥi]
fruitier [fʁɥitje]
fruste [fʁyst]
frustration [fʁystʁasjô]
frustré [fʁystʁe]
frustrer [fʁystʁe]
FTP [ɛftepe]
fuchsine [fyksin]
fucus [fykys]
fugace [fyɡas]
fugacité [fyɡasite]
fugitif [fyʒitif]
fugitivement [fyʒitivmâ]
fugue [fyɡ]
fuir [fɥiʁ]
fuite [fɥit]
fuiter [fɥite]
fulgurance [fylɡyʁâs]
fulgurant [fylɡyʁâ]
fulguration [fylɡyʁasjô]
full [ful]
fulminate [fylminat]
fulminer [fylmine]
fumant [fymâ]
fumé [fyme]
fumer [fyme]
fumet [fymɛ]
fumeur [fymœʁ]
fumier [fymje]
fumigation [fymiɡasjô]
fumoir [fymwaʁ]
fumure [fymyʁ]
funambule [fynâbyl]
funèbre [fynɛbʁ]
funéraire [fyneʁɛʁ]
funeste [fynɛst]
funiculaire [fynikylɛʁ]
furet [fyʁɛ]
fureur [fyʁœʁ]
fur [fyʁ]
furia [fyʁja]
furibond [fyʁibô]
furie [fyʁi]
furieusement [fyʁjøzmâ]
furieux [fyʁjø]
furoncle [fyʁôkl]
furtif [fyʁtif]
furtivement [fyʁtivmâ]
fusain [fyzê]
fuseau [fyzo]
fusée [fyze]
fuselage [fyzlaʒ]
fuser [fyze]
fusibilité [fyzibilite]
fusible [fyzibl]
fusiforme [fyzifɔʁm]
fusil [fyzi]
fusilier [fyzilje]
fusillade [fyzijad]
fusiller [fyzije]
fusion [fyzjô]
fusionnel [fyzjɔnɛl]
fusionner [fyzjɔne]
fustigation [fystiɡasjô]
fustiger [fystiʒe]
futaie [fytɛ]
futaille [fytaj]
fût [fy]
futile [fytil]
futilité [fytilite]
futur [fytyʁ]
futurisme [fytyʁism]
futuriste [fytyʁist]
fuyant [fɥijâ]
fuyard [fɥijaʁ]
gabare [ɡabaʁ]
gabarit [ɡabaʁi]
gabegie [ɡabʒi]
gabelle [ɡabɛl]
gabonais [ɡabɔnɛ]
gâcher [ɡaʃe]
gâchette [ɡaʃɛt]
gâchis [ɡaʃi]
gadget [ɡadʒɛt]
gaélique [ɡaelik]
gaffe [ɡaf]
gag [ɡaɡ]
gage [ɡaʒ]
gager [ɡaʒe]
gageure [ɡaʒyʁ]
gagiste [ɡaʒist]
gagnant [ɡaɲâ]
gagner [ɡaɲe]
gaïac [ɡajak]
gai [ɡe,ɡɛ]
gaiement [ɡemâ,ɡɛmâ ]
gaieté [ɡete]
gaillard [ɡajaʁ]
gaillardement [ɡajaʁdəmâ]
gain [ɡê]
gaine [ɡɛn]
gainer [ɡene]
gala [ɡala]
galactique [ɡalaktik]
galactose [ɡalaktoz]
galamment [ɡalamâ]
galant [ɡalâ]
galanterie [ɡalâtʁi]
galaxie [ɡalaksi]
galbe [ɡalb]
gale [ɡal]
galène [ɡalɛn]
galénique [ɡalenik]
galère [ɡalɛʁ]
galérer [ɡaleʁe]
galerie [ɡalʁi]
galérien [ɡaleʁjê]
galet [ɡalɛ]
galetas [ɡalta]
galette [ɡalɛt]
galeux [ɡalø]
galicien [ɡalisjê]
galiléen [ɡalileê]
galimatias [ɡalimatja]
galion [ɡaljô]
galiote [ɡaljɔt]
galle [ɡal]
gallican [ɡalikâ]
gallicanisme [ɡalikanism]
gallique [ɡalik]
gallium [ɡaljɔm]
gallo [ɡalo]
gallois [ɡalwa]
gallon [ɡalô]
galon [ɡalô]
galop [ɡalo]
galopant [ɡalɔpâ]
galope [ɡalɔp]
galoper [ɡalɔpe]
galvanique [ɡalvanik]
galvanisation [ɡalvanizasjô]
galvaniser [ɡalvanize]
galvanisme [ɡalvanism]
galvanomètre [ɡalvanɔmɛtʁ]
galvanoplastie [ɡalvanɔplasti]
gamelle [ɡamɛl]
gamète [ɡamɛt]
gamin [ɡamê]
gamma [ɡama]
gamme [ɡam]
gan [ɡan]
gang [ɡâɡ]
ganglion [ɡâɡlijô]
ganglionnaire [ɡâɡlijɔnɛʁ]
gangrène [ɡâɡʁɛn]
gangreneux [ɡâɡʁənø]
gangster [ɡâɡstɛʁ]
gangue [ɡâɡ]
gant [ɡâ]
ganterie [ɡâtʁi]
gap [ɡap]
garage [ɡaʁaʒ]
garagiste [ɡaʁaʒist]
garance [ɡaʁâs]
garant [ɡaʁâ]
garantir [ɡaʁâtiʁ]
garce [ɡaʁs]
garçon [ɡaʁsô]
garçonnet [ɡaʁsɔnɛ]
garde [ɡaʁd]
garder [ɡaʁde]
garderie [ɡaʁdəʁi]
gardien [ɡaʁdjê]
gardiennage [ɡaʁdjɛnaʒ]
gardon [ɡaʁdô]
gare [ɡaʁ]
garenne [ɡaʁɛn]
garer [ɡaʁe]
gargouillement [ɡaʁɡujmâ]
garnement [ɡaʁnəmâ]
garnir [ɡaʁniʁ]
garnison [ɡaʁnizô]
garnissage [ɡaʁnisaʒ]
garniture [ɡaʁnityʁ]
garou [ɡaʁu]
garrigue [ɡaʁiɡ]
garrot [ɡaʁo]
gars [ɡa]
gascon [ɡaskô]
gaspillage [ɡaspijaʒ]
gaspiller [ɡaspije]
gastralgie [ɡastʁalʒi]
gastrectomie [ɡastʁɛktɔmi]
gastrique [ɡastʁik]
gastrite [ɡastʁit]
gastro [ɡastʁo]
gastronomie [ɡastʁɔnɔmi]
gastronomique [ɡastʁɔnɔmik]
gâteau [ɡato]
gâter [ɡate]
gâteux [ɡatø]
gauchement [ɡoʃmâ]
gauche [ɡoʃ]
gaucherie [ɡoʃʁi]
gaucher [ɡoʃe]
gauchisme [ɡoʃism]
gauchissement [ɡoʃismâ]
gauchiste [ɡoʃist]
gaucho [ɡoʃo]
gaullien [ɡoljê]
gaullisme [ɡolism]
gaulliste [ɡolist]
gaulois [ɡolwa]
gausser [ɡose]
gauss [ɡos]
gavage [ɡavaʒ]
gave [ɡav]
gaver [ɡave]
gaz [ɡaz]
gaze [ɡaz]
gazéification [ɡazeifikasjô]
gazelle [ɡazɛl]
gazetier [ɡaztje]
gazette [ɡazɛt]
gazeux [ɡazø]
gazoduc [ɡazɔdyk]
gazogène [ɡazɔʒɛn]
gazole [ɡazɔl]
gazomètre [ɡazɔmɛtʁ]
gazon [ɡazô]
gazouillement [ɡazujmâ]
gazouillis [ɡazuji]
geai [ʒɛ]
géant [ʒeâ]
géhenne [ʒeɛn]
geindre [ʒêdʁ]
gélatiner [ʒelatine]
gélatineux [ʒelatinø]
gélatine [ʒelatin]
geler [ʒəle]
gélose [ʒeloz]
gel [ʒɛl]
gémellaire [ʒemelɛʁ]
gémellité [ʒemelite]
gémir [ʒemiʁ]
gémissant [ʒemisâ]
gémissement [ʒemismâ]
gemme [ʒɛm]
gémonies [ʒemɔni]
gênant [ʒɛnâ]
gencive [ʒâsiv]
gendarmerie [ʒâdaʁməʁi]
gendarmer [ʒâdaʁme]
gendarme [ʒâdaʁm]
gendre [ʒâdʁ]
généalogie [ʒenealɔʒi]
généalogique [ʒenealɔʒik]
généalogiste [ʒenealɔʒist]
généralat [ʒeneʁala]
généralement [ʒeneʁalmâ]
généralisable [ʒeneʁalizabl]
généralisation [ʒeneʁalizasjô]
généraliser [ʒeneʁalize]
généralissime [ʒeneʁalisim]
généraliste [ʒeneʁalist]
généralité [ʒeneʁalite]
général [ʒeneʁal]
générateur [ʒeneʁatœʁ]
génératif [ʒeneʁatif]
générationnel [ʒeneʁasjɔnɛl]
génération [ʒeneʁasjô]
générer [ʒeneʁe]
généreusement [ʒeneʁøzmâ]
généreux [ʒeneʁø]
génériquement [ʒeneʁikmâ]
générique [ʒeneʁik]
générosité [ʒeneʁozite]
gêner [ʒene]
genèse [ʒənɛz]
génésique [ʒenezik]
généticien [ʒenetisjê]
génétiquement [ʒenetikmâ]
génétique [ʒenetik]
genêt [ʒənɛ]
gêneur [ʒɛnœʁ]
genevois [ʒənvwa]
genévrier [ʒənevʁije]
gène [ʒɛn]
gêne [ʒɛn]
génialité [ʒenjalite]
génial [ʒenjal]
genièvre [ʒənjɛvʁ]
génie [ʒeni]
génique [ʒenik]
génisse [ʒenis]
génital [ʒenital]
géniteur [ʒenitœʁ]
génitif [ʒenitif]
génocidaire [ʒenɔsidɛʁ]
génocide [ʒenɔsid]
génois [ʒenwa]
génome [ʒenom]
génomique [ʒenomik]
génotype [ʒenotip]
genou [ʒənu]
genre [ʒâʁ]
gens [ʒâ]
gentiane [ʒâsjan]
gentilhomme [ʒâtijɔm]
gentilité [ʒâtilite]
gentillesse [ʒâtijɛs]
gentilshommes [ʒâtizɔm]
gentil [ʒâti]
gentiment [ʒâtimâ]
gentleman [dʒɛntləman,ʒâtləman]
gentry [dʒɛntʁi]
gent [ʒâ]
génuflexion [ʒenyflɛksjô]
géocentrique [ʒeosâtʁik]
géodésie [ʒeɔdezi]
géodésique [ʒeɔdezik]
géographe [ʒeɔɡʁaf]
géographie [ʒeɔɡʁafi]
géographiquement [ʒeɔɡʁafikmâ]
géographique [ʒeɔɡʁafik]
geôle [ʒol]
geôlier [ʒolje]
géologie [ʒeɔlɔʒi]
géologiquement [ʒeɔlɔʒikmâ]
géologique [ʒeɔlɔʒik]
géologue [ʒeɔlɔɡ]
géomancie [ʒeɔmâsi]
géométral [ʒeɔmetʁal]
géomètre [ʒeɔmɛtʁ]
géométrie [ʒeɔmetʁi]
géométriquement [ʒeɔmetʁikmâ]
géométrique [ʒeɔmetʁik]
géomorphologie [ʒeomɔʁfɔlɔʒi]
géophysique [ʒeofizik]
géopolitique [ʒeɔpɔlitik]
géorgien [ʒeɔʁʒjê]
géostratégique [ʒeostʁateʒik]
géosynclinal [ʒeosêklinal]
géothermique [ʒeotɛʁmik]
géo [ʒeo]
gérance [ʒeʁâs]
géranium [ʒeʁanjɔm]
gérant [ʒeʁâ]
gerber [ʒɛʁbe]
gerbe [ʒɛʁb]
gérer [ʒeʁe]
gériatrie [ʒeʁjatʁi]
germain [ʒɛʁmê]
germanique [ʒɛʁmanik]
germanisation [ʒɛʁmanizasjô]
germanisme [ʒɛʁmanism]
germaniste [ʒɛʁmanist]
germanium [ʒɛʁmanjɔm]
germanophile [ʒɛʁmanɔfil]
germanophone [ʒɛʁmanɔfɔn]
germen [ʒɛʁmɛn]
germer [ʒɛʁme]
germe [ʒɛʁm]
germé [ʒɛʁme]
germinal [ʒɛʁminal]
germinatif [ʒɛʁminatif]
germination [ʒɛʁminasjô]
gérondif [ʒeʁôdif]
gérontologie [ʒeʁôtɔlɔʒi]
gésier [ʒezje]
gésir [ʒeziʁ]
gesse [ʒɛs]
gestation [ʒɛstasjô]
geste [ʒɛst]
gesticulant [ʒɛstikylâ]
gesticulation [ʒɛstikylasjô]
gesticuler [ʒɛstikyle]
gestionnaire [ʒɛstjɔnɛʁ]
gestion [ʒɛstjô]
gestualité [ʒɛstɥalite]
gestuel [ʒɛstɥɛl]
ghanéen [ɡaneê]
ghetto [ɡeto,ɡɛto]
gibbosité [ʒibozite]
gibecière [ʒibsjɛʁ]
gibelin [ʒiblê]
giberne [ʒibɛʁn]
gibet [ʒibɛ]
gibier [ʒibje]
gifler [ʒifle]
gifle [ʒifl]
gigantesque [ʒiɡâtɛsk]
gigantisme [ʒiɡâtism]
gigot [ʒiɡo]
gigue [ʒiɡ]
gilet [ʒilɛ]
gin [dʒin]
gingembre [ʒêʒâbʁ]
gingival [ʒêʒival]
gingivite [ʒêʒivit]
giorno [dʒjɔʁno,dʒɔʁno,ʒjɔʁno]
girafe [ʒiʁaf]
giration [ʒiʁasjô]
giratoire [ʒiʁatwaʁ]
girl [ɡœʁl]
girofle [ʒiʁɔfl]
girondin [ʒiʁôdê]
giron [ʒiʁô]
girouette [ʒiʁwɛt]
gisant [ʒizâ]
gisement [ʒizmâ]
gitan [ʒitâ]
gîter [ʒite]
gîte [ʒit]
givre [ʒivʁ]
glabelle [ɡlabɛl]
glabre [ɡlabʁ]
glace [ɡlas]
glacer [ɡlase]
glaciaire [ɡlasjɛʁ]
glacial [ɡlasjal]
glaciation [ɡlasjasjô]
glacière [ɡlasjɛʁ]
glacier [ɡlasje]
glacis [ɡlasi]
glaçon [ɡlasô]
glaçure [ɡlasyʁ]
gladiateur [ɡladjatœʁ]
glaise [ɡlɛz]
glaive [ɡlɛv]
glanage [ɡlanaʒ]
glande [ɡlâd]
glander [ɡlâde]
gland [ɡlâ]
glandulaire [ɡlâdylɛʁ]
glanduleux [ɡlâdylø]
glaner [ɡlane]
glas [ɡla]
glass [ɡlas]
glaucome [ɡlokom]
glauque [ɡlok]
glèbe [ɡlɛb]
glénoïde [ɡlenɔid]
glissade [ɡlisad]
glissant [ɡlisâ]
glisse [ɡlis]
glissement [ɡlismâ]
glisser [ɡlise]
glissière [ɡlisjɛʁ]
globalement [ɡlɔbalmâ]
globalisation [ɡlɔbalizasjô]
globalité [ɡlɔbalite]
global [ɡlɔbal]
globe [ɡlɔb]
globulaire [ɡlɔbylɛʁ]
globule [ɡlɔbyl]
globuleux [ɡlɔbylø]
globuline [ɡlɔbylin]
gloire [ɡlwaʁ]
glomérulaire [ɡlɔmeʁylɛʁ]
glomérule [ɡlɔmeʁyl]
gloria [ɡlɔʁja]
glorieusement [ɡlɔʁjøzmâ]
glorieux [ɡlɔʁjø]
glorifiant [ɡlɔʁifjâ]
glorification [ɡlɔʁifikasjô]
glorifier [ɡlɔʁifje]
gloriole [ɡlɔʁjɔl]
glose [ɡloz]
gloser [ɡloze]
glossaire [ɡlɔsɛʁ]
glotte [ɡlɔt]
glottique [ɡlɔtik]
glouton [ɡlutô]
gloutonnerie [ɡlutɔnʁi]
gluant [ɡlyâ]
glucide [ɡlysid]
glucidique [ɡlysidik]
glucose [ɡlykoz]
glu [ɡly]
gluten [ɡlytɛn]
glycémie [ɡlisemi]
glycérine [ɡliseʁin]
glycérol [ɡliseʁɔl]
glycine [ɡlisin]
glycogène [ɡlikɔʒɛn]
glycol [ɡlikɔl]
glycolyse [ɡlikɔliz]
glycosurie [ɡlikozyʁi]
gneiss [ɡnɛs]
gnome [ɡnom]
gnomique [ɡnɔmik]
gnomon [ɡnɔmô]
gnon [ɲô]
gnose [ɡnoz]
gnoséologie [ɡnozeɔlɔʒi]
gnoséologique [ɡnozeɔlɔʒik]
gnosticisme [ɡnɔstisism]
gnostique [ɡnɔstik]
goal [ɡol]
gobelet [ɡɔblɛ]
godet [ɡɔdɛ]
goélette [ɡɔelɛt]
goémon [ɡɔemô]
goguenard [ɡɔɡnaʁ]
goguette [ɡɔɡɛt]
goitre [ɡwatʁ]
golfe [ɡɔlf]
golf [ɡɔlf]
gomme [ɡɔm]
gommer [ɡɔme]
gommeux [ɡɔmø]
gond [ɡô]
gondole [ɡôdɔl]
gonfalonier [ɡôfalɔnje]
gonflant [ɡôflâ]
gonflement [ɡôfləmâ]
gonfler [ɡôfle]
gong [ɡôɡ]
goniomètre [ɡɔnjɔmɛtʁ]
gonocoque [ɡɔnɔkɔk]
gonorrhée [ɡɔnɔʁe]
go [ɡo]
gordien [ɡɔʁdjê]
gorge [ɡɔʁʒ]
gorger [ɡɔʁʒe]
gorille [ɡɔʁij]
gosier [ɡozje]
gosse [ɡɔs]
gothique [ɡɔtik]
gouache [ɡwaʃ]
gouailleur [ɡwajœʁ]
goudron [ɡudʁô]
gouffre [ɡufʁ]
goujat [ɡuʒa]
goujon [ɡuʒô]
goulag [ɡulaɡ]
goulet [ɡulɛ]
goulot [ɡulo]
goulûment [ɡulymâ]
goum [ɡum]
goupillon [ɡupijô]
goupil [ɡupil]
gourbi [ɡuʁbi]
gourdin [ɡuʁdê]
gourd [ɡuʁ]
gourmander [ɡuʁmâde]
gourmandise [ɡuʁmâdiz]
gourmand [ɡuʁmâ]
gourmet [ɡuʁmɛ]
gourme [ɡuʁm]
gourou [ɡuʁu]
gousset [ɡusɛ]
gousse [ɡus]
goûter [ɡute]
gouttelette [ɡutlɛt]
goutter [ɡute]
goutte [ɡut]
goutteux [ɡutø]
gouttière [ɡutjɛʁ]
goût [ɡu]
gouvernail [ɡuvɛʁnaj]
gouvernance [ɡuvɛʁnâs]
gouvernant [ɡuvɛʁnâ]
gouvernemental [ɡuvɛʁnəmâtal]
gouvernement [ɡuvɛʁnəmâ]
gouverner [ɡuvɛʁne]
gouverneur [ɡuvɛʁnœʁ]
gouverne [ɡuvɛʁn]
gouvernorat [ɡuvɛʁnɔʁa]
grabat [ɡʁaba]
grâce [ɡʁas]
gracier [ɡʁasje]
gracieusement [ɡʁasjøzmâ]
gracieuseté [ɡʁasjøzte]
gracieux [ɡʁasjø]
gracile [ɡʁasil]
gradation [ɡʁadasjô]
grade [ɡʁad]
gradé [ɡʁade]
gradient [ɡʁadjâ]
gradin [ɡʁadê]
graduation [ɡʁadɥasjô]
gradué [ɡʁadɥe]
graduel [ɡʁadɥɛl]
graduellement [ɡʁadɥɛlmâ]
graduer [ɡʁadɥe]
gradus [ɡʁadys]
graffiti [ɡʁafiti]
grain [ɡʁê]
graine [ɡʁɛn]
grainer [ɡʁene]
graissage [ɡʁɛsaʒ]
graisse [ɡʁɛs]
graisser [ɡʁese]
graisseur [ɡʁɛsœʁ]
gram [ɡʁam]
graminée [ɡʁamine]
grammaire [ɡʁamɛʁ,ɡʁammɛʁ]
grammairien [ɡʁamɛʁjê,ɡʁammɛʁjê]
grammatical [ɡʁamatikal,ɡʁammatikal]
grammaticalement [ɡʁamatikalmâ,ɡʁammatikalmâ]
grammaticalisation [ɡʁamatikalizasjô,ɡʁammatikalizasjô]
grammaticalité [ɡʁamatikalite,ɡʁammatikalite]
gramme [ɡʁam]
gramophone [ɡʁamɔfɔn]
grand [ɡʁâ]
grandement [ɡʁâdmâ]
grandesse [ɡʁâdɛs]
grandeur [ɡʁâdœʁ]
grandiloquence [ɡʁâdilɔkâs]
grandiloquent [ɡʁâdilɔkâ]
grandiose [ɡʁâdjoz]
grandir [ɡʁâdiʁ]
grandissant [ɡʁâdisâ]
grandissement [ɡʁâdismâ]
grandissime [ɡʁâdisim]
grand-père [ɡʁâpɛʁ]
grange [ɡʁâʒ]
granit [ɡʁanit]
granite [ɡʁanit]
graniter [ɡʁanite]
granitique [ɡʁanitik]
granulaire [ɡʁanylɛʁ]
granulation [ɡʁanylasjô]
granule [ɡʁanyl]
granuler [ɡʁanyle]
granuleux [ɡʁanylø]
granulite [ɡʁanylit]
granulome [ɡʁanylom]
granulométrie [ɡʁanylometʁi]
granulométrique [ɡʁanylometʁik]
graphe [ɡʁaf]
graphème [ɡʁafɛm]
graphie [ɡʁafi]
graphique [ɡʁafik]
graphiquement [ɡʁafikmâ]
graphisme [ɡʁafism]
graphite [ɡʁafit]
graphologie [ɡʁafɔlɔʒi]
grappe [ɡʁap]
grappin [ɡʁapê]
gras [ɡʁa]
grassement [ɡʁasmâ]
gratification [ɡʁatifikasjô]
gratifier [ɡʁatifje]
gratin [ɡʁatê]
gratis [ɡʁatis]
gratitude [ɡʁatityd]
grattage [ɡʁataʒ]
gratte [ɡʁat]
gratter [ɡʁate]
grattoir [ɡʁatwaʁ]
gratuit [ɡʁatɥi]
gratuité [ɡʁatɥite]
gratuitement [ɡʁatɥitmâ]
grau [ɡʁo]
gravats [ɡʁava]
grave [ɡʁav]
graveleux [ɡʁavlø]
gravelle [ɡʁavɛl]
gravement [ɡʁavmâ]
graver [ɡʁave]
graveur [ɡʁavœʁ]
gravide [ɡʁavid]
gravidique [ɡʁavidik]
gravier [ɡʁavje]
gravir [ɡʁaviʁ]
gravitation [ɡʁavitasjô]
gravité [ɡʁavite]
graviter [ɡʁavite]
gravure [ɡʁavyʁ]
gray [ɡʁɛ]
grec [ɡʁɛk]
grecquer [ɡʁɛke]
gredin [ɡʁədê]
gré [ɡʁe]
gréement [ɡʁemâ]
green [ɡʁin]
gréer [ɡʁee]
greffage [ɡʁefaʒ]
greffe [ɡʁɛf]
greffer [ɡʁefe]
greffier [ɡʁefje]
greffon [ɡʁefô]
grégaire [ɡʁeɡɛʁ]
grège [ɡʁɛʒ]
grégeois [ɡʁeʒwa]
grégorien [ɡʁeɡɔʁjê]
grêle [ɡʁɛl]
grêler [ɡʁele]
grelot [ɡʁəlo]
grenade [ɡʁənad]
grenadier [ɡʁənadje]
grenat [ɡʁəna]
grenier [ɡʁənje]
grenoblois [ɡʁənɔblwa]
grenouille [ɡʁənuj]
grenouiller [ɡʁənuje]
grenu [ɡʁəny]
grès [ɡʁɛ]
grésil [ɡʁezil]
grève [ɡʁɛv]
grever [ɡʁəve]
gréviste [ɡʁevist]
grief [ɡʁijɛf]
grièvement [ɡʁijɛvmâ]
griffe [ɡʁif]
griffer [ɡʁife]
griffon [ɡʁifô]
griffonner [ɡʁifɔne]
grignotage [ɡʁiɲɔtaʒ]
grignoter [ɡʁiɲɔte]
gril [ɡʁil]
grillage [ɡʁijaʒ]
grille [ɡʁij]
grillé [ɡʁije]
griller [ɡʁije]
grillon [ɡʁijô]
grimaçant [ɡʁimasâ]
grimace [ɡʁimas]
grimacer [ɡʁimase]
grimoire [ɡʁimwaʁ]
grimpant [ɡʁêpâ]
grimpe [ɡʁêp]
grimper [ɡʁêpe]
grimpeur [ɡʁêpœʁ]
grinçant [ɡʁêsâ]
grincement [ɡʁêsmâ]
grincer [ɡʁêse]
grincheux [ɡʁêʃø]
griot [ɡʁijo]
grippe [ɡʁip]
grisaille [ɡʁizaj]
grisâtre [ɡʁizatʁ]
griserie [ɡʁizʁi]
griser [ɡʁize]
grisette [ɡʁizɛt]
gris [ɡʁi]
grison [ɡʁizô]
grisou [ɡʁizu]
grive [ɡʁiv]
grivois [ɡʁivwa]
grognement [ɡʁɔɲmâ]
grogne [ɡʁɔɲ]
grogner [ɡʁɔɲe]
grognon [ɡʁɔɲô]
grog [ɡʁɔɡ]
groin [ɡʁwê]
grondant [ɡʁôdâ]
grondement [ɡʁôdmâ]
gronde [ɡʁôd]
gronder [ɡʁôde]
groom [ɡʁum]
gros [ɡʁo]
grossesse [ɡʁosɛs]
grosseur [ɡʁosœʁ]
grossièrement [ɡʁosjɛʁmâ]
grossièreté [ɡʁosjɛʁte]
grossier [ɡʁosje]
grossir [ɡʁosiʁ]
grossissant [ɡʁosisâ]
grossissement [ɡʁosismâ]
grossiste [ɡʁosist]
grosso [ɡʁoso]
grotesque [ɡʁɔtɛsk]
grotte [ɡʁɔt]
grouillant [ɡʁujâ]
grouillement [ɡʁujmâ]
groupage [ɡʁupaʒ]
groupement [ɡʁupmâ]
grouper [ɡʁupe]
groupe [ɡʁup]
groupuscule [ɡʁupyskyl]
gruau [ɡʁyo]
grue [ɡʁy]
grume [ɡʁym]
gruyère [ɡʁyjɛʁ]
guadeloupéen [ɡwadlupeê]
guano [ɡwano]
guarani [ɡwaʁani]
guatémaltèque [ɡwatemaltɛk]
guéable [ɡeabl]
gué [ɡe]
guelfe [ɡɛlf]
guenille [ɡənij]
guenon [ɡənô]
guêpe [ɡɛp]
guêpier [ɡepje]
guère [ɡɛʁ]
guéridon [ɡeʁidô]
guérilla [ɡeʁija]
guérillero [ɡeʁijeʁo]
guérir [ɡeʁiʁ]
guérison [ɡeʁizô]
guérissant [ɡeʁisâ]
guérisseur [ɡeʁisœʁ]
guérite [ɡeʁit]
guerre [ɡɛʁ]
guerrier [ɡɛʁje]
guerroyer [ɡɛʁwaje]
guet [ɡɛ]
guette [ɡɛt]
guetter [ɡete]
guetteur [ɡɛtœʁ]
gueulard [ɡœlaʁ]
gueule [ɡœl]
gueuler [ɡœle]
gueux [ɡø]
guichet [ɡiʃɛ]
guichetier [ɡiʃətje]
guidage [ɡidaʒ]
guidance [ɡidâs]
guide [ɡid]
guider [ɡide]
guidon [ɡidô]
guignol [ɡiɲɔl]
gui [ɡi]
guilde [ɡild]
guillemet [ɡijmɛ]
guillotine [ɡijɔtin]
guillotiné [ɡijɔtine]
guillotiner [ɡijɔtine]
guimauve [ɡimov]
guinée [ɡine]
guinéen [ɡineê]
guinguette [ɡêɡɛt]
guirlande [ɡiʁlâd]
guise [ɡiz]
guitare [ɡitaʁ]
guitariste [ɡitaʁist]
guttural [ɡytyʁal]
guyanais [ɡɥijanɛ]
gymnase [ʒimnaz]
gymnaste [ʒimnast]
gymnastique [ʒimnastik]
gynécée [ʒinese]
gynécologie [ʒinekɔlɔʒi]
gynécologique [ʒinekɔlɔʒik]
gynécologue [ʒinekɔlɔɡ]
gypseux [ʒipsø]
gypse [ʒips]
gyroscope [ʒiʁɔskɔp]
habile [abil]
habilement [abilmâ]
habileté [abilte]
habilitation [abilitasjô]
habilité [abilite]
habiliter [abilite]
habillage [abijaʒ]
habillement [abijmâ]
habiller [abije]
habit [abi]
habitabilité [abitabilite]
habitable [abitabl]
habitacle [abitakl]
habitant [abitâ]
habitat [abita]
habitation [abitasjô]
habiter [abite]
habitude [abityd]
habitué [abitɥe]
habituel [abitɥɛl]
habituellement [abitɥɛlmâ]
habituer [abitɥe]
habitus [abitys]
hâbleur [Hablœʁ]
hachage [Haʃaʒ]
hache [Haʃ]
hacher [Haʃe]
hachette [Haʃɛt]
hachis [Haʃi]
hacienda [asjɛnda]
hadith [Hadit]
hagard [Haɡaʁ]
hagiographe [aʒjɔɡʁaf]
hagiographie [aʒjɔɡʁafi]
hagiographique [aʒjɔɡʁafik]
ha [Ha]
haie [Hɛ]
haï [Hai]
haillon [Hajô]
haine [Hɛn]
haineux [Hɛnø]
haïr [Haiʁ]
haïssable [Haisabl]
haïtien [aisjê]
halage [Halaʒ]
haleine [alɛn]
haler [Hale]
haletant [Haltâ]
halètement [Halɛtmâ]
halieutique [aljøtik]
hallali [alali]
hallebarde [Halbaʁd]
halle [Hal]
hall [Hol]
