
j' [ʒ]
adéquatement [adekwatmâ]
adéquation [adekwasjô]
adhérence [adeʁâs]
adhérent [adeʁâ]
adhérer [adeʁe]
adhésif [adezif]
adhésion [adezjô]
adiabatique [adjabatik]
adieu [adjø]
Adige [adiʒ]
adipeux [adipø]
adire [adiʁ]
adjacent [adʒasâ]
adjectif [adʒɛktif]
adjectival [adʒɛktival]
adjoindre [adʒwêdʁ]
adjoint [adʒwê]
adjonction [adʒôksjô]
adjudant [adʒydâ]
adjudicataire [adʒydikatɛʁ]
adjudication [adʒydikasjô]
adjuger [adʒyʒe]
adjuration [adʒyʁasjô]
adjuvant [adʒyvâ]
admettre [admɛtʁ]
administrateur [administʁatœʁ]
administratif [administʁatif]
administration [administʁasjô]
administrativement [administʁativmâ]
administré [administʁe]
administrer [administʁe]
admirable [admiʁabl]
admirablement [admiʁabləmâ]
admirateur [admiʁatœʁ]
admiratif [admiʁatif]
admiration [admiʁasjô]
admirer [admiʁe]
admis [admi]
admissibilité [admisibilite]
admissible [admisibl]
admission [admisjô]
admonestation [admɔnɛstasjô]
admonester [admɔnɛste]
admonition [admɔnisjô]
ado [ado]
adolescence [adɔlesâs]
adolescent [adɔlesâ]
Adolphe [adɔlf]
Adonaï [adɔnai]
adonc [adôk]
Adonis [adɔnis]
adonner [adɔne]
adoptant [adɔptâ]
adopté [adɔpte]
adopter [adɔpte]
adoptif [adɔptif]
adoption [adɔpsjô]
adorable [adɔʁabl]
adorateur [adɔʁatœʁ]
adoration [adɔʁasjô]
adoré [adɔʁe]
adorer [adɔʁe]
ados [ado]
adosser [adose]
adoubement [adubmâ]
adoucir [adusiʁ]
adoucissant [adusisâ]
adoucissement [adusismâ]
Adour [aduʁ]
adrénaline [adʁenalin]
adressage [adʁesaʒ]
adresse [adʁɛs]
adresser [adʁese]
adriatique [adʁijatik]
Adriatique [adʁijatik]
Adrien [adʁijê]
Adrienne [adʁijɛn]
adroit [adʁwa]
adroitement [adʁwatmâ]
adsorption [adsɔʁpsjô]
adulation [adylasjô]
adulte [adylt]
adultère [adyltɛʁ]
adultérer [adylteʁe]
adultérin [adylteʁê]
advenir [advəniʁ]
adventice [advâtis]
adverbe [advɛʁb]
adverbial [advɛʁbjal]
adversaire [advɛʁsɛʁ]
adverse [advɛʁs]
adversité [advɛʁsite]
adynamie [adinami]
adynamique [adinamik]
aède [aɛd]
aérage [aeʁaʒ]
aération [aeʁasjô]
aérer [aeʁe]
aérien [aeʁjê]
aérobie [aeʁɔbi]
aérodrome [aeʁodʁom]
aérodynamique [aeʁɔdinamik]
aérogare [aeʁɔɡaʁ]
aéronaute [aeʁonot]
aéronautique [aeʁɔnotik]
aéronef [aeʁɔnɛf]
aéroplane [aeʁɔplan]
aéroport [aeʁɔpɔʁ]
aérosol [aeʁɔsɔl]
aérostat [aeʁɔsta]
aérostation [aeʁostasjô]
affabilité [afabilite]
affable [afabl]
affabulation [afabylasjô]
affaiblir [afebliʁ]
affaiblissant [afeblisâ]
affaiblissement [afeblismâ]
affaire [afɛʁ]
affairer [afeʁe]
affairisme [afeʁism]
affairiste [afeʁist]
affaissement [afɛsmâ]
affaisser [afese]
affamé [afame]
affamer [afame]
affect [afɛkt]
affectation [afɛktasjô]
affecter [afɛkte]
affectif [afɛktif]
affection [afɛksjô]
affectionner [afɛksjɔne]
affectivement [afɛktivmâ]
affectivité [afɛktivite]
affectueusement [afɛktɥøzmâ]
affectueux [afɛktɥø]
afférent [afeʁâ]
affermage [afɛʁmaʒ]
affermer [afɛʁme]
affermir [afɛʁmiʁ]
affermissement [afɛʁmismâ]
afféterie [afɛtʁi]
affichage [afiʃaʒ]
affiche [afiʃ]
afficher [afiʃe]
affidé [afide]
affiliation [afiljasjô]
affilier [afilje]
affin [afê]
affinage [afinaʒ]
affinement [afinmâ]
affiner [afine]
affinité [afinite]
affirmatif [afiʁmatif]
affirmation [afiʁmasjô]
affirmativement [afiʁmativmâ]
affirmer [afiʁme]
affixe [afiks]
affleurement [aflœʁmâ]
affleurer [aflœʁe]
affliction [afliksjô]
affligé [afliʒe]
affligeant [afliʒâ]
affliger [afliʒe]
affluence [aflyâs]
affluent [aflyâ]
affluer [aflye]
afflux [afly]
affolé [afɔle]
affolement [afɔlmâ]
affoler [afɔle]
affouage [afwaʒ]
affranchi [afʁâʃi]
affranchir [afʁâʃiʁ]
affranchissement [afʁâʃismâ]
affres [afʁ]
affrètement [afʁɛtmâ]
affréteur [afʁetœʁ]
